parcellation,scale,spintype,netclass,network,zscore,pval
atl-cammoun2012,scale033,burt2018,yeo,dorsal attention,1.6311816114901703,0.0746925307469253
atl-cammoun2012,scale033,burt2018,yeo,ventral attention,-1.7957103193883892,0.0021997800219978004
atl-cammoun2012,scale033,burt2018,yeo,limbic,-2.459144967832963,0.009799020097990201
atl-cammoun2012,scale033,burt2018,yeo,frontoparietal,-0.5785651090399466,0.9054094590540946
atl-cammoun2012,scale033,burt2018,yeo,default mode,-1.0708075952519636,0.36396360363963604
atl-cammoun2012,scale033,burt2020,yeo,visual,2.405902722757597,0.011698830116988301
atl-cammoun2012,scale033,burt2020,yeo,somatomotor,3.155738265528079,0.0020997900209979003
atl-cammoun2012,scale033,burt2020,yeo,dorsal attention,0.6506758136774048,0.4654534546545345
atl-cammoun2012,scale033,burt2020,yeo,ventral attention,-2.7787387010300924,0.0035996400359964
atl-cammoun2012,scale033,burt2020,yeo,limbic,-2.153538296793019,0.028997100289971003
atl-cammoun2012,scale033,burt2020,yeo,frontoparietal,-0.4607343227802578,0.6323367663233677
atl-cammoun2012,scale033,burt2020,yeo,default mode,-1.5276984652430117,0.12668733126687332
atl-cammoun2012,scale033,moran,yeo,visual,1.372441834732055,0.18138186181381863
atl-cammoun2012,scale033,moran,yeo,somatomotor,1.7511235243455616,0.0565943405659434
atl-cammoun2012,scale033,moran,yeo,dorsal attention,0.5290367691759674,0.6256374362563744
atl-cammoun2012,scale033,moran,yeo,ventral attention,-1.8190553008679728,0.06779322067793221
atl-cammoun2012,scale033,moran,yeo,limbic,-1.1746942928166448,0.2745725427457254
atl-cammoun2012,scale033,moran,yeo,frontoparietal,-0.3332289102926491,0.7601239876012399
atl-cammoun2012,scale033,moran,yeo,default mode,-1.5571066567853282,0.12198780121987801
atl-cammoun2012,scale033,naive-para,yeo,visual,0.9940740766543509,0.00043779593355405767
atl-cammoun2012,scale033,naive-para,yeo,somatomotor,0.979750219352109,0.0014452366765089666
atl-cammoun2012,scale033,naive-para,yeo,dorsal attention,0.44609389909366287,0.0014446064150059584
atl-cammoun2012,scale033,naive-para,yeo,ventral attention,-0.777079726402647,0.033449858051150354
atl-cammoun2012,scale033,naive-para,yeo,limbic,-0.6993113823788178,7.734101653099839e-05
atl-cammoun2012,scale033,naive-para,yeo,frontoparietal,-0.25110720837257067,0.20237962150529984
atl-cammoun2012,scale033,naive-para,yeo,default mode,-0.2728511027869908,0.1230684263765461
atl-cammoun2012,scale060,naive-nonpara,yeo,visual,4.441080476911963,9.999000099990002e-05
atl-cammoun2012,scale060,naive-nonpara,yeo,somatomotor,4.483684800087025,9.999000099990002e-05
atl-cammoun2012,scale060,naive-nonpara,yeo,dorsal attention,1.0370396297561368,0.29647035296470353
atl-cammoun2012,scale060,naive-nonpara,yeo,ventral attention,-3.235728472516199,0.000999900009999
atl-cammoun2012,scale060,naive-nonpara,yeo,limbic,-3.4971986237754553,0.0004999500049995
atl-cammoun2012,scale060,naive-nonpara,yeo,frontoparietal,-1.0929499208484201,0.27147285271472854
atl-cammoun2012,scale060,naive-nonpara,yeo,default mode,-2.2733215830429807,0.023797620237976203
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,visual,1.6126792694111767,0.0847915208479152
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,somatomotor,2.228250065537162,0.0173982601739826
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,dorsal attention,0.5360038742889344,0.6206379362063794
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,ventral attention,-2.059093915018444,0.041995800419958006
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,limbic,-1.4413615070306118,0.1307869213078692
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,frontoparietal,-0.610369296115559,0.5777422257774223
atl-cammoun2012,scale060,vazquez-rodriguez,yeo,default mode,-1.681461500261144,0.08909109089091091
atl-cammoun2012,scale060,vasa,yeo,visual,1.959509112211951,0.016798320167983202
atl-cammoun2012,scale060,vasa,yeo,somatomotor,2.414753190281542,0.0057994200579942
atl-cammoun2012,scale060,vasa,yeo,dorsal attention,0.60801724877097,0.6163383661633837
atl-cammoun2012,scale060,vasa,yeo,ventral attention,-2.398627705925401,0.014298570142985701
atl-cammoun2012,scale060,vasa,yeo,limbic,-1.713612288423589,0.064993500649935
atl-cammoun2012,scale060,vasa,yeo,frontoparietal,-0.7325556985389009,0.5333466653334666
atl-cammoun2012,scale060,vasa,yeo,default mode,-1.8803062384991076,0.05749425057494251
atl-cammoun2012,scale060,hungarian,yeo,visual,1.8381695328454881,0.030996900309969003
atl-cammoun2012,scale060,hungarian,yeo,somatomotor,2.194181874510285,0.014898510148985102
atl-cammoun2012,scale060,hungarian,yeo,dorsal attention,0.5527433669316215,0.6507349265073493
atl-cammoun2012,scale060,hungarian,yeo,ventral attention,-2.140747330309332,0.029597040295970403
atl-cammoun2012,scale060,hungarian,yeo,limbic,-1.5374205821407096,0.1045895410458954
atl-cammoun2012,scale060,hungarian,yeo,frontoparietal,-0.6403846558988254,0.6064393560643936
atl-cammoun2012,scale060,hungarian,yeo,default mode,-1.7527245582910218,0.07779222077792221
atl-cammoun2012,scale060,baum,yeo,visual,1.7546880716568014,0.05959404059594041
atl-cammoun2012,scale060,baum,yeo,somatomotor,2.491445083728818,0.007599240075992401
atl-cammoun2012,scale060,baum,yeo,dorsal attention,0.5975953921821143,0.5700429957004299
atl-cammoun2012,scale060,baum,yeo,ventral attention,-2.3647282966985097,0.013098690130986902
atl-cammoun2012,scale060,baum,yeo,limbic,-1.6019198106240764,0.09359064093590641
atl-cammoun2012,scale060,baum,yeo,frontoparietal,-0.6857315121799521,0.5141485851414859
atl-cammoun2012,scale060,baum,yeo,default mode,-1.9683829449782995,0.0428957104289571
atl-cammoun2012,scale060,cornblath,yeo,visual,1.7931992917273742,0.0532946705329467
atl-cammoun2012,scale060,cornblath,yeo,somatomotor,2.5864555527344026,0.0034996500349965005
atl-cammoun2012,scale060,cornblath,yeo,dorsal attention,0.6296991539653929,0.5563443655634437
atl-cammoun2012,scale060,cornblath,yeo,ventral attention,-2.564507631608253,0.0025997400259974
atl-cammoun2012,scale060,cornblath,yeo,limbic,-1.676757961669212,0.07479252074792521
atl-cammoun2012,scale060,cornblath,yeo,frontoparietal,-0.7513334289315348,0.48685131486851313
atl-cammoun2012,scale060,cornblath,yeo,default mode,-2.2364939821370045,0.017598240175982403
atl-cammoun2012,scale060,burt2018,yeo,visual,1.5280461826932368,0.1324867513248675
atl-cammoun2012,scale060,burt2018,yeo,somatomotor,1.8634550057827162,0.044195580441955803
atl-cammoun2012,scale060,burt2018,yeo,dorsal attention,0.43758347779181944,0.7856214378562144
atl-cammoun2012,scale060,burt2018,yeo,ventral attention,-2.2024193268086902,0.013298670132986702
atl-cammoun2012,scale060,burt2018,yeo,limbic,-1.1881187909938618,0.30426957304269575
atl-cammoun2012,scale060,burt2018,yeo,frontoparietal,-0.8958382537250292,0.36726327367263273
atl-cammoun2012,scale060,burt2018,yeo,default mode,-2.4237656011307775,0.014698530146985302
atl-cammoun2012,scale060,burt2020,yeo,visual,2.075813056357236,0.029097090290970903
atl-cammoun2012,scale060,burt2020,yeo,somatomotor,2.746689512974825,0.0024997500249975004
atl-cammoun2012,scale060,burt2020,yeo,dorsal attention,0.741801238860003,0.46235376462353767
atl-cammoun2012,scale060,burt2020,yeo,ventral attention,-2.9029425692221675,0.0016998300169983002
atl-cammoun2012,scale060,burt2020,yeo,limbic,-2.0472382212814604,0.0367963203679632
atl-cammoun2012,scale060,burt2020,yeo,frontoparietal,-0.8190161428159816,0.43385661433856615
atl-cammoun2012,scale060,burt2020,yeo,default mode,-2.220281390339755,0.0254974502549745
atl-cammoun2012,scale060,moran,yeo,visual,1.3305470865871225,0.21557844215578442
atl-cammoun2012,scale060,moran,yeo,somatomotor,1.9029630306149046,0.0336966303369663
atl-cammoun2012,scale060,moran,yeo,dorsal attention,0.5558069696446016,0.5957404259574043
atl-cammoun2012,scale060,moran,yeo,ventral attention,-1.904640641751313,0.05419458054194581
atl-cammoun2012,scale060,moran,yeo,limbic,-1.7335974555784488,0.08049195080491951
atl-cammoun2012,scale060,moran,yeo,frontoparietal,-0.5500143691676342,0.6808319168083191
atl-cammoun2012,scale060,moran,yeo,default mode,-1.9433475265094307,0.0448955104489551
atl-cammoun2012,scale060,naive-para,yeo,visual,0.9611677380242826,1.5825145956728656e-05
atl-cammoun2012,scale060,naive-para,yeo,somatomotor,0.8782225573863304,0.00013974720825659414
atl-cammoun2012,scale060,naive-para,yeo,dorsal attention,0.4076966353238037,0.016155120505712425
atl-cammoun2012,scale060,naive-para,yeo,ventral attention,-0.7749193330014568,0.01305681058214051
atl-cammoun2012,scale060,naive-para,yeo,limbic,-0.7746394924684389,9.513631295762224e-07
atl-cammoun2012,scale060,naive-para,yeo,frontoparietal,-0.443132694667945,0.0026736163612129985
atl-cammoun2012,scale060,naive-para,yeo,default mode,-0.34640049246774024,0.007171491850126194
atl-cammoun2012,scale125,naive-nonpara,yeo,visual,5.92906655670028,9.999000099990002e-05
atl-cammoun2012,scale125,naive-nonpara,yeo,somatomotor,5.77223135903385,9.999000099990002e-05
atl-cammoun2012,scale125,naive-nonpara,yeo,dorsal attention,1.661287498025798,0.09859014098590141
atl-cammoun2012,scale125,naive-nonpara,yeo,ventral attention,-4.005457697161448,0.00019998000199980003
atl-cammoun2012,scale125,naive-nonpara,yeo,limbic,-4.651068514362769,9.999000099990002e-05
atl-cammoun2012,scale125,naive-nonpara,yeo,frontoparietal,-2.115666785219529,0.033396660333966606
atl-cammoun2012,scale125,naive-nonpara,yeo,default mode,-3.159559822081087,0.0014998500149985001
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,visual,1.6682079714003342,0.07239276072392761
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,somatomotor,2.1324655170796025,0.024697530246975304
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,dorsal attention,0.6843545838203408,0.5384461553844615
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,ventral attention,-1.6667652879000305,0.09349065093490651
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,limbic,-1.4009444465152703,0.1596840315968403
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,frontoparietal,-0.6617008812886994,0.5560443955604439
atl-cammoun2012,scale125,vazquez-rodriguez,yeo,default mode,-1.2686153245281337,0.20837916208379162
atl-cammoun2012,scale125,vasa,yeo,visual,1.9050572787786944,0.020497950204979503
atl-cammoun2012,scale125,vasa,yeo,somatomotor,2.3338289928474936,0.0100989901009899
atl-cammoun2012,scale125,vasa,yeo,dorsal attention,0.7023103908842452,0.551944805519448
atl-cammoun2012,scale125,vasa,yeo,ventral attention,-2.225016186715363,0.0182981701829817
atl-cammoun2012,scale125,vasa,yeo,limbic,-1.7389170011784205,0.0608939106089391
atl-cammoun2012,scale125,vasa,yeo,frontoparietal,-0.941678291388741,0.41825817418258177
atl-cammoun2012,scale125,vasa,yeo,default mode,-1.8640217669656889,0.05779422057794221
atl-cammoun2012,scale125,hungarian,yeo,visual,1.8352992751423964,0.029597040295970403
atl-cammoun2012,scale125,hungarian,yeo,somatomotor,2.151511498417789,0.0202979702029797
atl-cammoun2012,scale125,hungarian,yeo,dorsal attention,0.6472808959325692,0.5803419658034197
atl-cammoun2012,scale125,hungarian,yeo,ventral attention,-2.024865698569886,0.030896910308969103
atl-cammoun2012,scale125,hungarian,yeo,limbic,-1.6290738716289233,0.08049195080491951
atl-cammoun2012,scale125,hungarian,yeo,frontoparietal,-0.8777588601021261,0.45755424457554245
atl-cammoun2012,scale125,hungarian,yeo,default mode,-1.6912752746201227,0.0907909209079092
atl-cammoun2012,scale125,baum,yeo,visual,1.6633323541169087,0.0760923907609239
atl-cammoun2012,scale125,baum,yeo,somatomotor,2.1437145656518752,0.024297570242975703
atl-cammoun2012,scale125,baum,yeo,dorsal attention,0.6890622648867062,0.5182481751824818
atl-cammoun2012,scale125,baum,yeo,ventral attention,-1.7014648914936739,0.08649135086491351
atl-cammoun2012,scale125,baum,yeo,limbic,-1.432916684031431,0.1473852614738526
atl-cammoun2012,scale125,baum,yeo,frontoparietal,-0.6581018592280171,0.5462453754624538
atl-cammoun2012,scale125,baum,yeo,default mode,-1.3716495972812872,0.17398260173982602
atl-cammoun2012,scale125,cornblath,yeo,visual,1.7027262259305815,0.0670932906709329
atl-cammoun2012,scale125,cornblath,yeo,somatomotor,2.2089469591464312,0.018098190180981903
atl-cammoun2012,scale125,cornblath,yeo,dorsal attention,0.7069689477650642,0.5076492350764924
atl-cammoun2012,scale125,cornblath,yeo,ventral attention,-1.8304569833989328,0.06269373062693731
atl-cammoun2012,scale125,cornblath,yeo,limbic,-1.482226550043198,0.1326867313268673
atl-cammoun2012,scale125,cornblath,yeo,frontoparietal,-0.6938780998243648,0.5325467453254674
atl-cammoun2012,scale125,cornblath,yeo,default mode,-1.487744463861914,0.1361863813618638
atl-cammoun2012,scale125,burt2018,yeo,visual,1.1360757598481441,0.4036596340365963
atl-cammoun2012,scale125,burt2018,yeo,somatomotor,1.0661109074200514,0.545045495450455
atl-cammoun2012,scale125,burt2018,yeo,dorsal attention,0.9301949261030065,0.32016798320167983
atl-cammoun2012,scale125,burt2018,yeo,ventral attention,-1.1139764487164243,0.44965503449655037
atl-cammoun2012,scale125,burt2018,yeo,limbic,-1.167053175886857,0.2900709929007099
atl-cammoun2012,scale125,burt2018,yeo,frontoparietal,-1.5768513839409157,0.11078892110788921
atl-cammoun2012,scale125,burt2018,yeo,default mode,-2.2420216804168054,0.014098590140985901
atl-cammoun2012,scale125,burt2020,yeo,visual,1.9441040753703054,0.0451954804519548
atl-cammoun2012,scale125,burt2020,yeo,somatomotor,2.6029437016461108,0.0044995500449955
atl-cammoun2012,scale125,burt2020,yeo,dorsal attention,0.831966739754395,0.4243575642435756
atl-cammoun2012,scale125,burt2020,yeo,ventral attention,-2.8341285930741464,0.0023997600239976003
atl-cammoun2012,scale125,burt2020,yeo,limbic,-2.047908550549153,0.037396260373962605
atl-cammoun2012,scale125,burt2020,yeo,frontoparietal,-0.9974197103891045,0.3424657534246575
atl-cammoun2012,scale125,burt2020,yeo,default mode,-2.2669603829661,0.0197980201979802
atl-cammoun2012,scale125,moran,yeo,visual,1.9845028911153333,0.03849615038496151
atl-cammoun2012,scale125,moran,yeo,somatomotor,2.766259935065664,0.0028997100289971
atl-cammoun2012,scale125,moran,yeo,dorsal attention,0.8579281013272712,0.40745925407459255
atl-cammoun2012,scale125,moran,yeo,ventral attention,-2.4420885584989245,0.009999000099990002
atl-cammoun2012,scale125,moran,yeo,limbic,-2.300453728642105,0.0168983101689831
atl-cammoun2012,scale125,moran,yeo,frontoparietal,-0.8329155017161073,0.43565643435656437
atl-cammoun2012,scale125,moran,yeo,default mode,-2.1508616189044254,0.0301969803019698
atl-cammoun2012,scale125,naive-para,yeo,visual,0.971387740147449,3.162445962182976e-08
atl-cammoun2012,scale125,naive-para,yeo,somatomotor,0.7770965649201792,1.8372348991487225e-06
atl-cammoun2012,scale125,naive-para,yeo,dorsal attention,0.43393816278695346,0.004573051924267606
atl-cammoun2012,scale125,naive-para,yeo,ventral attention,-0.7168818209933964,0.0005935762141660826
atl-cammoun2012,scale125,naive-para,yeo,limbic,-0.8370612923344032,2.1250241168034757e-10
atl-cammoun2012,scale125,naive-para,yeo,frontoparietal,-0.5351077560051297,9.797926333446398e-06
atl-cammoun2012,scale125,naive-para,yeo,default mode,-0.35003099320851855,9.478659247001708e-05
atl-cammoun2012,scale250,naive-nonpara,yeo,visual,7.8973070237175955,9.999000099990002e-05
atl-cammoun2012,scale250,naive-nonpara,yeo,somatomotor,7.467688403801193,9.999000099990002e-05
atl-cammoun2012,scale250,naive-nonpara,yeo,dorsal attention,1.9574400338744387,0.047595240475952406
atl-cammoun2012,scale250,naive-nonpara,yeo,ventral attention,-5.90709246380464,9.999000099990002e-05
atl-cammoun2012,scale250,naive-nonpara,yeo,limbic,-5.234485791946871,9.999000099990002e-05
atl-cammoun2012,scale250,naive-nonpara,yeo,frontoparietal,-3.0650860844645638,0.0025997400259974
atl-cammoun2012,scale250,naive-nonpara,yeo,default mode,-4.644445041719598,9.999000099990002e-05
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,visual,1.6431698924251112,0.0827917208279172
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,somatomotor,2.04251177051496,0.0321967803219678
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,dorsal attention,0.6423240730876507,0.543045695430457
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,ventral attention,-1.763872387039544,0.07479252074792521
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,limbic,-1.24059492949628,0.2064793520647935
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,frontoparietal,-0.6693006725150397,0.529047095290471
atl-cammoun2012,scale250,vazquez-rodriguez,yeo,default mode,-1.285701478498719,0.19658034196580343
atl-cammoun2012,scale250,vasa,yeo,visual,1.7811762085653535,0.04409559044095591
atl-cammoun2012,scale250,vasa,yeo,somatomotor,2.1434826927196107,0.017698230176982303
atl-cammoun2012,scale250,vasa,yeo,dorsal attention,0.6063093225346687,0.595040495950405
atl-cammoun2012,scale250,vasa,yeo,ventral attention,-2.369896508913395,0.011898810118988102
atl-cammoun2012,scale250,vasa,yeo,limbic,-1.5178902815006057,0.11808819118088192
atl-cammoun2012,scale250,vasa,yeo,frontoparietal,-0.9654921154685424,0.4012598740125987
atl-cammoun2012,scale250,vasa,yeo,default mode,-2.045169587238257,0.032896710328967106
atl-cammoun2012,scale250,hungarian,yeo,visual,1.7583737708591796,0.0463953604639536
atl-cammoun2012,scale250,hungarian,yeo,somatomotor,1.9845897950319482,0.035996400359964
atl-cammoun2012,scale250,hungarian,yeo,dorsal attention,0.5533678739448326,0.6248375162483751
atl-cammoun2012,scale250,hungarian,yeo,ventral attention,-2.188849661971295,0.0178982101789821
atl-cammoun2012,scale250,hungarian,yeo,limbic,-1.4588396624104336,0.14178582141785823
atl-cammoun2012,scale250,hungarian,yeo,frontoparietal,-0.9076020162055569,0.4350564943505649
atl-cammoun2012,scale250,hungarian,yeo,default mode,-1.8389753896426553,0.061693830616938304
atl-cammoun2012,scale250,baum,yeo,visual,1.6521105315432882,0.07889211078892111
atl-cammoun2012,scale250,baum,yeo,somatomotor,2.0570133360017273,0.0313968603139686
atl-cammoun2012,scale250,baum,yeo,dorsal attention,0.6390877239468709,0.5483451654834517
atl-cammoun2012,scale250,baum,yeo,ventral attention,-1.9030653697395805,0.053094690530946904
atl-cammoun2012,scale250,baum,yeo,limbic,-1.3308379042163545,0.1840815918408159
atl-cammoun2012,scale250,baum,yeo,frontoparietal,-0.6861774170808919,0.5196480351964804
atl-cammoun2012,scale250,baum,yeo,default mode,-1.539764914536612,0.12148785121487851
atl-cammoun2012,scale250,cornblath,yeo,visual,1.6596127727635974,0.07629237076292371
atl-cammoun2012,scale250,cornblath,yeo,somatomotor,2.076757984785562,0.0287971202879712
atl-cammoun2012,scale250,cornblath,yeo,dorsal attention,0.6416385080665382,0.5481451854814519
atl-cammoun2012,scale250,cornblath,yeo,ventral attention,-1.9483068500915965,0.046795320467953205
atl-cammoun2012,scale250,cornblath,yeo,limbic,-1.3458097772863336,0.1775822417758224
atl-cammoun2012,scale250,cornblath,yeo,frontoparietal,-0.6975199564145952,0.5164483551644835
atl-cammoun2012,scale250,cornblath,yeo,default mode,-1.5833855161564403,0.11178882111788821
atl-cammoun2012,scale250,burt2018,yeo,visual,2.2956813164082153,0.0047995200479952005
atl-cammoun2012,scale250,burt2018,yeo,somatomotor,3.08598927623263,0.0012998700129987
atl-cammoun2012,scale250,burt2018,yeo,dorsal attention,0.46401425411636427,0.8148185181481852
atl-cammoun2012,scale250,burt2018,yeo,ventral attention,-2.079850903878708,0.007999200079992
atl-cammoun2012,scale250,burt2018,yeo,limbic,-3.023780351434845,0.001999800019998
atl-cammoun2012,scale250,burt2018,yeo,frontoparietal,-0.9439113415060122,0.41085891410858916
atl-cammoun2012,scale250,burt2018,yeo,default mode,-2.746313293721483,0.0014998500149985001
atl-cammoun2012,scale250,burt2020,yeo,visual,2.1218582698241337,0.026197380261973803
atl-cammoun2012,scale250,burt2020,yeo,somatomotor,2.6222075801397624,0.0052994700529947
atl-cammoun2012,scale250,burt2020,yeo,dorsal attention,0.7759714934513818,0.45415458454154584
atl-cammoun2012,scale250,burt2020,yeo,ventral attention,-2.886732595876286,0.0023997600239976003
atl-cammoun2012,scale250,burt2020,yeo,limbic,-2.059397228017909,0.036696330366963306
atl-cammoun2012,scale250,burt2020,yeo,frontoparietal,-1.0839599597432334,0.28717128287171284
atl-cammoun2012,scale250,burt2020,yeo,default mode,-2.410745593484843,0.0131986801319868
atl-cammoun2012,scale250,moran,yeo,visual,1.901311102814947,0.05419458054194581
atl-cammoun2012,scale250,moran,yeo,somatomotor,2.4359133798086687,0.010298970102989701
atl-cammoun2012,scale250,moran,yeo,dorsal attention,0.7603082073674956,0.45735426457354267
atl-cammoun2012,scale250,moran,yeo,ventral attention,-2.61480770238265,0.006899310068993101
atl-cammoun2012,scale250,moran,yeo,limbic,-2.215017854177634,0.024997500249975
atl-cammoun2012,scale250,moran,yeo,frontoparietal,-0.9253321585476101,0.38416158384161586
atl-cammoun2012,scale250,moran,yeo,default mode,-2.300061056427471,0.0202979702029797
atl-cammoun2012,scale250,naive-para,yeo,visual,0.8764934720974284,5.385070793806477e-15
atl-cammoun2012,scale250,naive-para,yeo,somatomotor,0.6750509865249751,2.2505275494202853e-10
atl-cammoun2012,scale250,naive-para,yeo,dorsal attention,0.3617570373760638,0.00030501251923820556
atl-cammoun2012,scale250,naive-para,yeo,ventral attention,-0.7273167166363181,1.1307908440043764e-05
atl-cammoun2012,scale250,naive-para,yeo,limbic,-0.7471546892630544,2.4848344510037724e-16
atl-cammoun2012,scale250,naive-para,yeo,frontoparietal,-0.5424258404372436,1.2782668503506499e-11
atl-cammoun2012,scale250,naive-para,yeo,default mode,-0.3577567990322802,4.9196962708503794e-08
atl-cammoun2012,scale500,naive-nonpara,yeo,visual,11.018043791724219,9.999000099990002e-05
atl-cammoun2012,scale500,naive-nonpara,yeo,somatomotor,10.61033108123889,9.999000099990002e-05
atl-cammoun2012,scale500,naive-nonpara,yeo,dorsal attention,2.942364116884492,0.0037996200379962005
atl-cammoun2012,scale500,naive-nonpara,yeo,ventral attention,-8.287553912829383,9.999000099990002e-05
atl-cammoun2012,scale500,naive-nonpara,yeo,limbic,-7.43344270761248,9.999000099990002e-05
atl-cammoun2012,scale500,naive-nonpara,yeo,frontoparietal,-4.108479886557432,0.00019998000199980003
atl-cammoun2012,scale500,naive-nonpara,yeo,default mode,-6.64732063420815,9.999000099990002e-05
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,visual,1.550132167612745,0.10538946105389461
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,somatomotor,1.9072715505661233,0.0451954804519548
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,dorsal attention,0.6594661196395506,0.5034496550344966
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,ventral attention,-1.5553330928734928,0.11698830116988301
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,limbic,-1.1038786146806392,0.24877512248775122
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,frontoparietal,-0.578790700762059,0.5669433056694331
atl-cammoun2012,scale500,vazquez-rodriguez,yeo,default mode,-1.061660662977544,0.28817118288171184
